id,title,phase,dependencies,owner_hint,risk,delegabile,effort_days_min,effort_days_max,definition_of_done
MIG-000,Congelare baseline funzionale e performance,P0,-,architecture,medio,si,3,5,baseline test e metriche archiviate con hardware dichiarato
MIG-001,Inventario automatico readDb/writeDb e storage legacy,P0,MIG-000,backend,basso,si,1,2,report rigenerabile via script
MIG-002,Golden dataset con ordini/pagamenti/menu/prenotazioni/benefit,P0,MIG-000,qa,alto,si,3,6,fixture versionata con checksum
MIG-003,Baseline risorse sul dispositivo reale (RSS Node/MariaDB/SQLite/temperatura),P0,MIG-000,ops,medio,si,1,2,footprint misurato e archiviato
MIG-010,Gate hardware storage e memoria (HW-01),P1,MIG-003,ops,critico,no,2,4,pg_test_fsync e fio archiviati; HW-01 chiusa per iscritto
MIG-011,Aggiungere driver pg e pool PostgreSQL,P1,MIG-010,backend,medio,si,2,3,health DB e metriche pool; queue wait misurato
MIG-012,Aggiungere migration runner PostgreSQL,P1,MIG-011,backend,alto,si,2,4,migration up idempotente con schema_migrations e checksum
MIG-013,Provisioning PostgreSQL sicuro e backup/PITR,P1,MIG-011,ops,critico,no,3,5,fsync/synchronous_commit attivi; restore testato su hardware reale con tempo misurato
MIG-020,Creare schemi PG e tabelle foundation,P2,MIG-012,backend,alto,si,3,5,audit/outbox/idempotency/command inbox disponibili
MIG-021,Transaction helper PG con retry deadlock/serialization,P2,MIG-011,backend,critico,no,3,5,COMMIT/ROLLBACK standardizzati; retry misurato
MIG-022,Contratto repository e divieto di SQL negli handler,P2,MIG-021,architecture,alto,si,2,4,regola applicata a tutti i domini non solo ai nuovi
MIG-023,Outbox con lease + FOR UPDATE SKIP LOCKED,P2,"MIG-020,MIG-021",backend,critico,no,4,6,worker concorrenti senza doppio claim; lease scaduto ripreso; consumatori idempotenti
MIG-024,Audit append-only PostgreSQL,P2,"MIG-020,MIG-021",backend,critico,no,2,4,audit critico nello stesso commit
MIG-025,Idempotency store PostgreSQL,P2,"MIG-020,MIG-021",backend,critico,no,3,5,unique(scope,key) e replay deterministico
MIG-026,Retention e partizionamento tabelle append-only,P2,MIG-020,backend/ops,medio,si,2,4,RET-01 chiusa; policy applicate; view di crescita attiva
MIG-030,Inventario confini route -> dominio,P2b,MIG-022,architecture,alto,si,4,8,server_route_boundaries.csv completo; ogni route ha dominio o marcatura cross-domain
