domain,current_source,current_relational_coverage,target_pg_schema,target_tables,cache_role,phase,risk,exit_gate,perimetro_rev2
Identity / utenti,"app_state.users, userGroups",SQLite relational users + permissions parziale,identity,users; roles; permissions; user_roles; role_permissions; user_groups; user_group_members,session cache facoltativa,P3,medio,0 read/write legacy per utenti; equivalenza permessi/stanze/metodi pagamento,IN PERIMETRO
Sessioni auth,app_state.sessions + mysql session split,SQLite relational sessions,identity,sessions; session_events,cache sessione e revoca; PG autorevole,P3,alto,login/logout/revoca/expiry funzionano con Redis spento,IN PERIMETRO
Configurazione POS,app_state.posSettings,parziale: menu settings/rooms/tables/payment_methods,configuration,settings; locales; activities; activity_room_bindings; workstations; devices; printers; fiscal_devices; payment_terminals; radio_channels,cache versionata,P3-P5,medio,ogni chiave posSettings ha owner PG esplicito,IN PERIMETRO
Catalogo prodotti,app_state.menuItems + commercial_products,SQLite menu_items + commercial config V2 duplicati,catalog,products; product_variants; product_allergens; product_tags; product_routes; product_ingredient_labels,cache catalogo per published_version,P4,alto,una sola definizione canonica prodotto; snapshot ordine invariato,IN PERIMETRO
Menu/cataloghi,posSettings.menus/areaMenus + commercial_catalog*,Commercial V2 già strutturato,catalog,catalogs; catalog_categories; catalog_groups; catalog_entries; catalog_assignments,cache catalogo compilato,P4,alto,menu per area/attività/orario equivalenti,IN PERIMETRO
Ricette / ingredienti strutturati,NON esiste un dominio recipe; menuItem.ingredients è string[],nessuna tabella ricette,inventory,units; ingredients; recipes; recipe_versions; recipe_components; product_recipe_links,nessun dato autorevole in cache in-process,P4 (solo labels),alto,preservare ingredient labels; nessuna quantità inventata; ricette strutturate esplicite,FUORI PERIMETRO (Annex A.1) - solo ingredient labels in migrazione
Listini / pricing,posSettings.priceLists + schedules + commercial_price_lists,Commercial V2 già strutturato,commerce,price_lists; price_list_entries; assignments; pricing_versions,cache pricing compiled,P4,critico,risultati pricing golden tests equivalenti su scope/ora/listino,IN PERIMETRO
Offerte/combo,commercial offers V2; legacy special offers conversione manuale,Commercial V2 offer tables,commerce,offers; offer_included_items; offer_choice_groups; offer_choice_options,cache compiled,P4,alto,fixed/sum_components + supplementi + tax allocation equivalenti,IN PERIMETRO
Promozioni automatiche,non emerge un motore generico completo; benefits separati,nessuna copertura completa,commerce,promotions; promotion_conditions; promotion_actions; promotion_scopes; promotion_schedules; promotion_usage,cache regole pubblicate,-,alto,regole definite e testate; non confondere offerte con coupon,FUORI PERIMETRO (Annex A.2)
Coupon / voucher / benefit,commercialBenefitCampaigns/Coupons/Applications/Redemptions,app-state only,commerce,benefit_campaigns; benefit_coupons; benefit_applications; benefit_redemptions,rate/cache lookup codice opzionale,P4b,critico,no doppia redemption; residui e limiti uso equivalenti,IN PERIMETRO
Sale / tavoli,posSettings tables/areas + integration.tableGroups,SQLite pos_rooms/pos_tables + table_states/bills/locks,sales,rooms; tables; table_groups; table_group_members; table_states; table_work_locks,presence/UX mirror opzionale,P5,alto,nessuna ownership autorevole in RAM/Redis,IN PERIMETRO
Sessioni di vendita / chiusure,saleSessions/solarClosures/templates,SQLite sale_sessions/solar_closures,sales,sale_sessions; sale_session_templates; solar_closures,cache stato corrente opzionale,P5,alto,apertura/chiusura/trasferimenti equivalenti,IN PERIMETRO
Prenotazioni,posReservationStates/Locks + requests,SQLite reservations + assignments + locks + requests,reservations,reservations; reservation_table_assignments; reservation_locks; room_change_requests; table_room_move_requests,presence lock UI opzionale,P5,alto,multi-table/lock/status equivalenti,IN PERIMETRO
Ordini,integration.orders,SQLite relational orders/lines/variants/events avanzato,sales,orders; order_lines; order_line_variants; order_events; order_requests,solo cache read model/version,P6,critico,create/sync/cancel/comp/storno/correct/transfer/price override 100% PG,IN PERIMETRO
Preparazione / postazioni,"stationStates, fulfillment history/anomaly stats",parziale/no canonical relational,operations,stations; station_states; order_fulfillment_events; fulfillment_anomalies,presence heartbeat primario volatile; eventi durabili PG,P6,alto,reboot non perde stato business; presence può ricostruirsi,IN PERIMETRO
Notifiche,integration.notifications + recentBellClaims,writer split / outbox parziale,messaging,notifications; notification_targets; notification_receipts,pubsub/fanout/presence,P10,medio,delivery/read idempotente; Redis loss non perde notifica durabile,IN PERIMETRO
Pagamenti,payments + containers/parts/transactions,SQLite relational payments avanzato,payments,payments; payment_parts; payment_transactions; payment_order_allocations; payment_bill_allocations; payment_line_allocations,nessun valore monetario autorevole fuori da PG,P7,critico,no overpayment/duplicate; COMMIT prima ACK; allocazioni complete,IN PERIMETRO
Provider pagamento,paymentProviderTransactions,app-state repository,payments,provider_transactions; terminal_transactions,cache terminal status opzionale,P7,critico,retry idempotente + provider ref unique,IN PERIMETRO
